datetime,latitude,longitude
241229.0704,34.769,-76.844
241229.0704,42.805,-80.1
241229.0704,42.812,-80.098
241229.0704,43.059,-77.937
241229.0704,43.081,-77.383
241229.0704,43.261,-79.811
241229.0704,43.267,-79.804
241229.0704,43.273,-79.797
241229.0704,43.274,-79.803
241229.0704,43.275,-79.808
241229.0704,44.056,-77.122
241229.0704,46.729,-92.079
241229.0704,47.825,-90.121
241229.0704,47.826,-90.118
241229.0707,28.703,-96.538
241229.0707,29.067,-95.752
241229.0707,29.366,-94.911
241229.0707,29.37,-94.912
241229.0707,29.374,-94.937
241229.0707,29.723,-95.121
241229.0707,29.726,-95.121
241229.0707,29.741,-94.998
241229.0707,29.752,-93.879
241229.0707,29.756,-93.881
241229.0707,29.756,-93.876
241229.0707,29.758,-93.873
241229.0707,29.759,-93.879
241229.0707,29.875,-94.928
241229.0707,29.988,-90.445
241229.0707,29.999,-90.398
241229.0707,30,-90.405
241229.0707,30,-90.401
241229.0707,30.241,-93.275
241229.0707,30.323,-91.236
241229.0707,30.326,-91.281
241229.0707,30.327,-91.243
241229.0707,30.33,-91.279
241229.0707,30.56,-91.206
241229.0707,30.584,-91.24
241229.0707,30.748,-92.254
241229.0707,32.119,-81.97
241229.0707,32.121,-81.971
241229.0707,33.007,-79.885
241229.0707,33.012,-79.886
241229.0707,33.015,-79.885
241229.0707,33.148,-82.52
241229.0707,33.339,-80.383
241229.0707,33.339,-80.379
241229.0707,33.568,-80.52
241229.0707,34.123,-78.825
241229.0709,18.408,-75.022
241229.0709,18.408,-75.019
241229.0709,18.475,-69.786
241229.0709,19.109,-72.383
241229.0709,20.944,-89.663
241229.0709,28.7,-96.545
241229.0709,28.7,-96.537
241229.0709,28.701,-96.553
241229.0710,17.723,-93.148
241229.0710,17.791,-95.348
241229.0710,17.791,-95.343
241229.0710,17.836,-93.116
241229.0710,17.836,-93.112
241229.0710,17.837,-93.122
241229.0710,17.837,-93.119
241229.0710,17.841,-93.119
241229.0710,17.841,-93.112
241229.0710,17.841,-93.112
241229.0710,17.842,-93.126
241229.0710,17.842,-93.122
241229.0710,17.842,-93.122
241229.0710,17.842,-93.119
241229.0710,17.843,-93.125
241229.0710,17.867,-93.499
241229.0710,17.873,-93.498
241229.0710,17.878,-92.491
241229.0710,17.878,-92.488
241229.0710,17.89,-93.176
241229.0710,17.891,-93.183
241229.0710,17.892,-93.194
241229.0710,17.892,-93.19
241229.0710,17.892,-93.187
241229.0710,17.893,-92.486
241229.0710,17.894,-92.493
241229.0710,17.894,-92.489
241229.0710,17.896,-93.179
241229.0710,17.896,-93.176
241229.0710,17.897,-93.186
241229.0710,17.897,-93.183
241229.0710,17.897,-92.491
241229.0710,17.897,-92.488
241229.0710,17.902,-93.185
241229.0710,17.902,-93.182
241229.0710,17.902,-93.179
241229.0710,17.91,-93.521
241229.0710,17.911,-93.524
241229.0710,17.924,-93.762
241229.0710,17.924,-93.761
241229.0710,17.927,-93.631
241229.0710,17.945,-94.287
241229.0710,17.945,-93.283
241229.0710,17.945,-93.28
241229.0710,17.946,-93.652
241229.0710,17.946,-93.648
241229.0710,17.962,-93.65
241229.0710,17.963,-93.654
241229.0710,17.968,-93.653
241229.0710,17.968,-93.649
241229.0710,17.969,-94.519
241229.0710,17.97,-94.523
241229.0710,17.976,-94.527
241229.0710,17.982,-94.53
241229.0710,17.982,-94.528
241229.0710,17.982,-94.526
241229.0710,17.982,-94.524
241229.0710,17.983,-94.532
241229.0710,18.004,-93.451
241229.0710,18.004,-93.09
241229.0710,18.004,-93.086
241229.0710,18.029,-93.923
241229.0710,18.03,-93.927
241229.0710,18.03,-93.922
241229.0710,18.031,-93.926
241229.0710,18.066,-93.313
241229.0710,18.066,-93.31
241229.0710,18.069,-93.102
241229.0710,18.07,-93.1
241229.0710,18.093,-94.048
241229.0710,18.096,-93.967
241229.0710,18.099,-94.348
241229.0710,18.1,-94.349
241229.0710,18.1,-94.345
241229.0710,18.11,-94.395
241229.0710,18.132,-94.203
241229.0710,18.14,-92.826
241229.0710,18.141,-92.825
241229.0710,18.182,-93.216
241229.0710,18.184,-93.216
241229.0710,18.201,-94.007
241229.0710,18.206,-94.006
241229.0710,18.217,-93.893
241229.0710,18.218,-93.897
241229.0710,18.419,-93.191
241229.0710,18.438,-93.167
241229.0710,18.438,-93.164
241229.0710,18.49,-93.343
241229.0710,18.505,-96.148
241229.0710,18.511,-96.147
241229.0710,18.623,-92.508
241229.0710,18.636,-92.511
241229.0710,18.636,-92.508
241229.0710,18.639,-92.51
241229.0710,18.641,-92.171
241229.0710,18.646,-92.17
241229.0710,18.658,-93.336
241229.0710,18.865,-92.626
241229.0710,18.867,-92.625
241229.0710,19.24,-92.252
241229.0710,19.241,-92.255
241229.0710,19.244,-92.256
241229.0710,19.244,-92.253
241229.0710,19.301,-92.201
241229.0710,19.338,-92.401
241229.0710,19.343,-96.706
241229.0710,19.366,-92.008
241229.0710,19.371,-92.007
241229.0710,19.395,-92.044
241229.0710,19.395,-92.041
241229.0710,19.435,-92.039
241229.0710,19.435,-92.036
241229.0710,19.44,-92.039
241229.0710,19.445,-92.085
241229.0710,19.446,-92.091
241229.0710,19.446,-92.089
241229.0710,19.446,-92.088
241229.0710,19.446,-92.086
241229.0710,19.523,-92.19
241229.0710,19.568,-92.24
241229.0710,19.568,-92.237
241229.0710,19.59,-92.202
241229.0710,19.599,-92.295
241229.0710,19.599,-92.292
241229.0710,19.676,-90.68
241229.0710,20.514,-97.48
241229.0842,47.473,-103.212
241229.0842,47.824,-90.118
241229.0842,47.95,-104.041
241229.0845,44.117,-103.28
241229.0847,29.988,-90.439
241229.0847,29.998,-90.395
241229.0847,30.053,-90.668
241229.0847,30.062,-90.596
241229.0847,30.482,-91.18
241229.0847,30.482,-91.178
241229.0847,32.158,-89.493
241229.0847,32.16,-89.5
241229.0847,32.312,-90.136
241229.0847,32.423,-101.169
241229.0847,32.458,-101.472
241229.0847,32.459,-97.036
241229.0847,33.639,-94.115
241229.0847,33.981,-96.351
241229.0847,34.205,-97.102
241229.0847,34.336,-118.519
241229.0847,34.363,-111.042
241229.0847,34.364,-111.047
241229.0847,34.606,-117.335
241229.0847,35.519,-113.313
241229.0847,35.536,-97.094
241229.0847,36.355,-114.909
241229.0847,36.516,-97.839
241229.0847,36.52,-97.838
241229.0847,37.049,-95.606
241229.0847,38.129,-104.607
241229.0847,38.234,-104.606
241229.0848,25.489,-103.396
241229.0848,25.494,-100.989
241229.0848,25.59,-99.944
241229.0848,25.6,-100.924
241229.0848,25.603,-100.919
241229.0848,25.698,-100.295
241229.0848,25.698,-100.271
241229.0848,25.699,-100.3
241229.0848,25.719,-100.298
241229.0848,25.72,-100.302
241229.0848,25.721,-100.307
241229.0848,25.722,-100.304
241229.0848,25.75,-100.319
241229.0848,26.012,-107.008
241229.0848,26.018,-107.007
241229.0848,26.449,-98.177
241229.0848,26.461,-106.721
241229.0848,26.461,-106.717
241229.0848,26.464,-106.717
241229.0848,27.03,-103.371
241229.0848,27.27,-101.169
241229.0848,27.349,-107.513
241229.0848,27.81,-97.43
241229.0848,27.816,-97.481
241229.0848,27.823,-97.206
241229.0848,27.889,-97.268
241229.0848,27.89,-97.271
241229.0848,28.512,-96.794
241229.0848,28.519,-99.238
241229.0848,28.686,-106.086
241229.0848,28.696,-96.543
241229.0848,28.698,-96.531
241229.0848,28.7,-96.538
241229.0848,28.701,-96.541
241229.0848,28.71,-96.535
241229.0848,29.067,-95.749
241229.0848,29.068,-95.752
241229.0848,29.102,-96.033
241229.0848,29.37,-94.908
241229.0848,29.373,-94.921
241229.0848,29.373,-94.919
241229.0848,29.374,-94.923
241229.0848,29.376,-94.933
241229.0848,29.377,-94.937
241229.0848,29.377,-94.935
241229.0848,29.574,-98.032
241229.0848,29.595,-95.014
241229.0848,29.599,-95.012
241229.0848,29.712,-95.232
241229.0848,29.717,-95.231
